梯度++,梯度-+,梯度+-,梯度--,卡方统计量,把握,列,名称
19.333461,31.684595,21.590473,27.391471,41.1450588856313,99.9,94,NASDAQ.PCLN
16.486981,33.146867,19.202604,31.163548,25.8039295954724,99.9,95,NASDAQ.PDCO
22.16958,28.557425,23.305016,25.967979,15.9403931774399,99.9,96,NASDAQ.PYPL
21.583374,27.721171,24.009381,26.686075,16.0090346740178,99.9,97,NASDAQ.QCOM
21.371237,29.105351,23.093645,26.429766,22.3121397616355,99.9,98,NASDAQ.QRVO
21.268781,29.232053,23.60601,25.893155,37.6128446110988,99.9,99,NASDAQ.REGN
20.803861,27.843888,22.875926,28.476325,3.87859765869783,95,100,NASDAQ.ROST
21.420953,28.689802,23.332513,26.556731,19.9310537982724,99.9,101,NASDAQ.SBUX
19.082314,30.115361,23.263076,27.539249,57.9046807415542,99.9,102,NASDAQ.SNI
19.205052,30.850669,21.05312,28.891159,16.0425470248832,99.9,103,NASDAQ.SNPS
9.656118,40.107152,23.585846,26.650885,686.015888302716,99.9,104,NASDAQ.SPLS
18.220835,31.515802,19.898556,30.364807,9.48077307939655,99.5,105,NASDAQ.SRCL
21.456159,28.383598,23.313337,26.846906,14.4532882677952,99.9,106,NASDAQ.STX
22.124872,28.494751,24.366564,25.013813,40.4430584960444,99.9,107,NASDAQ.SWKS
18.942971,30.312386,22.548129,28.196513,40.4878917848274,99.9,108,NASDAQ.SYMC
20.915863,28.77095,23.514474,26.798713,25.7625627704358,99.9,109,NASDAQ.TRIP
20.791908,29.999135,22.296187,26.912769,22.5453848359631,99.9,110,NASDAQ.TROW
22.2024,27.092118,23.305222,27.400259,1.05580964595141,60,111,NASDAQ.TSCO
22.622233,27.406146,23.400632,26.570988,3.21336740994025,90,112,NASDAQ.TXN
19.921742,29.840082,22.881933,27.356244,36.4813903532582,99.9,113,NASDAQ.ULTA
19.396368,29.184074,22.593571,28.825987,19.3739165842767,99.9,114,NASDAQ.VIAB
17.971547,31.636504,20.226459,30.165489,16.7384838760412,99.9,115,NASDAQ.VRSK
19.632638,31.401145,21.10024,27.865977,23.9528450602993,99.9,116,NASDAQ.VRSN
22.678628,27.919421,24.590809,24.811143,31.3002804717929,99.9,117,NASDAQ.VRTX
22.166998,28.578529,22.813121,26.441352,8.46010647109083,99.5,118,NASDAQ.WBA
